State,Median_Income,Year,Date
United States,51939.0,2013,2013-01-01
Alabama,41381.0,2013,2013-01-01
Alaska,61137.0,2013,2013-01-01
Arizona,50602.0,2013,2013-01-01
Arkansas,39919.0,2013,2013-01-01
California,57528.0,2013,2013-01-01
Colorado,63371.0,2013,2013-01-01
Connecticut,67781.0,2013,2013-01-01
Delaware,52219.0,2013,2013-01-01
D.C.,60675.0,2013,2013-01-01
Florida,47886.0,2013,2013-01-01
Georgia,47439.0,2013,2013-01-01
Hawaii,61408.0,2013,2013-01-01
Idaho,51767.0,2013,2013-01-01
Illinois,57196.0,2013,2013-01-01
Indiana,50553.0,2013,2013-01-01
Iowa,54855.0,2013,2013-01-01
Kansas,51485.0,2013,2013-01-01
Kentucky,42158.0,2013,2013-01-01
Louisiana,39622.0,2013,2013-01-01
Maine,50121.0,2013,2013-01-01
Maryland,65262.0,2013,2013-01-01
Massachusetts,62963.0,2013,2013-01-01
Michigan,48801.0,2013,2013-01-01
Minnesota,60907.0,2013,2013-01-01
Mississippi,40850.0,2013,2013-01-01
Missouri,50311.0,2013,2013-01-01
Montana,44132.0,2013,2013-01-01
Nebraska,53774.0,2013,2013-01-01
Nevada,45369.0,2013,2013-01-01
New Hampshire,71322.0,2013,2013-01-01
New Jersey,61782.0,2013,2013-01-01
New Mexico,42127.0,2013,2013-01-01
New York,53843.0,2013,2013-01-01
North Carolina,41208.0,2013,2013-01-01
North Dakota,52888.0,2013,2013-01-01
Ohio,46398.0,2013,2013-01-01
Oklahoma,43777.0,2013,2013-01-01
Oregon,56307.0,2013,2013-01-01
Pennsylvania,53952.0,2013,2013-01-01
Rhode Island,57812.0,2013,2013-01-01
South Carolina,43749.0,2013,2013-01-01
South Dakota,54453.0,2013,2013-01-01
Tennessee,42499.0,2013,2013-01-01
Texas,53027.0,2013,2013-01-01
Utah,62967.0,2013,2013-01-01
Vermont,54842.0,2013,2013-01-01
Virginia,67620.0,2013,2013-01-01
Washington,60106.0,2013,2013-01-01
West Virginia,40241.0,2013,2013-01-01
Wisconsin,55258.0,2013,2013-01-01
Wyoming,55700.0,2013,2013-01-01
United States,51017.0,2012,2012-01-01
Alabama,43464.0,2012,2012-01-01
Alaska,63648.0,2012,2012-01-01
Arizona,47044.0,2012,2012-01-01
Arkansas,39018.0,2012,2012-01-01
California,57020.0,2012,2012-01-01
Colorado,57255.0,2012,2012-01-01
Connecticut,64247.0,2012,2012-01-01
Delaware,48972.0,2012,2012-01-01
D.C.,65246.0,2012,2012-01-01
Florida,46071.0,2012,2012-01-01
Georgia,48121.0,2012,2012-01-01
Hawaii,56263.0,2012,2012-01-01
Idaho,47922.0,2012,2012-01-01
Illinois,51738.0,2012,2012-01-01
Indiana,46158.0,2012,2012-01-01
Iowa,53442.0,2012,2012-01-01
Kansas,50003.0,2012,2012-01-01
Kentucky,41086.0,2012,2012-01-01
Louisiana,39085.0,2012,2012-01-01
Maine,49158.0,2012,2012-01-01
Maryland,71836.0,2012,2012-01-01
Massachusetts,63656.0,2012,2012-01-01
Michigan,50015.0,2012,2012-01-01
Minnesota,61795.0,2012,2012-01-01
Mississippi,36641.0,2012,2012-01-01
Missouri,49764.0,2012,2012-01-01
Montana,45088.0,2012,2012-01-01
Nebraska,52196.0,2012,2012-01-01
Nevada,47333.0,2012,2012-01-01
New Hampshire,67819.0,2012,2012-01-01
New Jersey,66692.0,2012,2012-01-01
New Mexico,43424.0,2012,2012-01-01
New York,47680.0,2012,2012-01-01
North Carolina,41553.0,2012,2012-01-01
North Dakota,55766.0,2012,2012-01-01
Ohio,44375.0,2012,2012-01-01
Oklahoma,48407.0,2012,2012-01-01
Oregon,51775.0,2012,2012-01-01
Pennsylvania,51904.0,2012,2012-01-01
Rhode Island,56065.0,2012,2012-01-01
South Carolina,44401.0,2012,2012-01-01
South Dakota,49415.0,2012,2012-01-01
Tennessee,42995.0,2012,2012-01-01
Texas,51926.0,2012,2012-01-01
Utah,58341.0,2012,2012-01-01
Vermont,55582.0,2012,2012-01-01
Virginia,64632.0,2012,2012-01-01
Washington,62187.0,2012,2012-01-01
West Virginia,43553.0,2012,2012-01-01
Wisconsin,53079.0,2012,2012-01-01
Wyoming,57512.0,2012,2012-01-01
United States,50054.0,2011,2011-01-01
Alabama,42590.0,2011,2011-01-01
Alaska,57431.0,2011,2011-01-01
Arizona,48621.0,2011,2011-01-01
Arkansas,41302.0,2011,2011-01-01
California,53367.0,2011,2011-01-01
Colorado,58629.0,2011,2011-01-01
Connecticut,65415.0,2011,2011-01-01
Delaware,54660.0,2011,2011-01-01
D.C.,55251.0,2011,2011-01-01
Florida,45105.0,2011,2011-01-01
Georgia,45973.0,2011,2011-01-01
Hawaii,59047.0,2011,2011-01-01
Idaho,47459.0,2011,2011-01-01
Illinois,50637.0,2011,2011-01-01
Indiana,44445.0,2011,2011-01-01
Iowa,50219.0,2011,2011-01-01
Kansas,46147.0,2011,2011-01-01
Kentucky,39856.0,2011,2011-01-01
Louisiana,40658.0,2011,2011-01-01
Maine,49693.0,2011,2011-01-01
Maryland,68876.0,2011,2011-01-01
Massachusetts,63313.0,2011,2011-01-01
Michigan,48879.0,2011,2011-01-01
Minnesota,57820.0,2011,2011-01-01
Mississippi,41090.0,2011,2011-01-01
Missouri,45774.0,2011,2011-01-01
Montana,40277.0,2011,2011-01-01
Nebraska,55616.0,2011,2011-01-01
Nevada,47043.0,2011,2011-01-01
New Hampshire,65880.0,2011,2011-01-01
New Jersey,62338.0,2011,2011-01-01
New Mexico,41982.0,2011,2011-01-01
New York,50636.0,2011,2011-01-01
North Carolina,45206.0,2011,2011-01-01
North Dakota,56361.0,2011,2011-01-01
Ohio,44648.0,2011,2011-01-01
Oklahoma,48455.0,2011,2011-01-01
Oregon,51526.0,2011,2011-01-01
Pennsylvania,49910.0,2011,2011-01-01
Rhode Island,49033.0,2011,2011-01-01
South Carolina,40084.0,2011,2011-01-01
South Dakota,47223.0,2011,2011-01-01
Tennessee,42279.0,2011,2011-01-01
Texas,49047.0,2011,2011-01-01
Utah,55493.0,2011,2011-01-01
Vermont,51862.0,2011,2011-01-01
Virginia,62616.0,2011,2011-01-01
Washington,56850.0,2011,2011-01-01
West Virginia,41821.0,2011,2011-01-01
Wisconsin,52058.0,2011,2011-01-01
Wyoming,54509.0,2011,2011-01-01
United States,49276.0,2010,2010-01-01
Alabama,40933.0,2010,2010-01-01
Alaska,57848.0,2010,2010-01-01
Arizona,46896.0,2010,2010-01-01
Arkansas,38587.0,2010,2010-01-01
California,54283.0,2010,2010-01-01
Colorado,60233.0,2010,2010-01-01
Connecticut,65998.0,2010,2010-01-01
Delaware,55214.0,2010,2010-01-01
D.C.,56928.0,2010,2010-01-01
Florida,44066.0,2010,2010-01-01
Georgia,44117.0,2010,2010-01-01
Hawaii,59539.0,2010,2010-01-01
Idaho,47050.0,2010,2010-01-01
Illinois,50728.0,2010,2010-01-01
Indiana,46139.0,2010,2010-01-01
Iowa,49016.0,2010,2010-01-01
Kansas,46054.0,2010,2010-01-01
Kentucky,41104.0,2010,2010-01-01
Louisiana,39300.0,2010,2010-01-01
Maine,47931.0,2010,2010-01-01
Maryland,64201.0,2010,2010-01-01
Massachusetts,60934.0,2010,2010-01-01
Michigan,46276.0,2010,2010-01-01
Minnesota,52321.0,2010,2010-01-01
Mississippi,38160.0,2010,2010-01-01
Missouri,45817.0,2010,2010-01-01
Montana,41280.0,2010,2010-01-01
Nebraska,52504.0,2010,2010-01-01
Nevada,51200.0,2010,2010-01-01
New Hampshire,66633.0,2010,2010-01-01
New Jersey,62968.0,2010,2010-01-01
New Mexico,45134.0,2010,2010-01-01
New York,49781.0,2010,2010-01-01
North Carolina,43830.0,2010,2010-01-01
North Dakota,51006.0,2010,2010-01-01
Ohio,45886.0,2010,2010-01-01
Oklahoma,43103.0,2010,2010-01-01
Oregon,50602.0,2010,2010-01-01
Pennsylvania,48314.0,2010,2010-01-01
Rhode Island,51623.0,2010,2010-01-01
South Carolina,41698.0,2010,2010-01-01
South Dakota,45352.0,2010,2010-01-01
Tennessee,38591.0,2010,2010-01-01
Texas,47266.0,2010,2010-01-01
Utah,56701.0,2010,2010-01-01
Vermont,55928.0,2010,2010-01-01
Virginia,60367.0,2010,2010-01-01
Washington,56163.0,2010,2010-01-01
West Virginia,42777.0,2010,2010-01-01
Wisconsin,50351.0,2010,2010-01-01
Wyoming,52201.0,2010,2010-01-01
United States,49777.0,2009,2009-01-01
Alabama,39980.0,2009,2009-01-01
Alaska,61604.0,2009,2009-01-01
Arizona,45739.0,2009,2009-01-01
Arkansas,36538.0,2009,2009-01-01
California,56134.0,2009,2009-01-01
Colorado,55930.0,2009,2009-01-01
Connecticut,64851.0,2009,2009-01-01
Delaware,52114.0,2009,2009-01-01
D.C.,53141.0,2009,2009-01-01
Florida,45631.0,2009,2009-01-01
Georgia,43340.0,2009,2009-01-01
Hawaii,55649.0,2009,2009-01-01
Idaho,46778.0,2009,2009-01-01
Illinois,52870.0,2009,2009-01-01
Indiana,44305.0,2009,2009-01-01
Iowa,50721.0,2009,2009-01-01
Kansas,44717.0,2009,2009-01-01
Kentucky,42664.0,2009,2009-01-01
Louisiana,45433.0,2009,2009-01-01
Maine,47502.0,2009,2009-01-01
Maryland,64186.0,2009,2009-01-01
Massachusetts,59373.0,2009,2009-01-01
Michigan,45994.0,2009,2009-01-01
Minnesota,56090.0,2009,2009-01-01
Mississippi,35078.0,2009,2009-01-01
Missouri,48769.0,2009,2009-01-01
Montana,40437.0,2009,2009-01-01
Nebraska,49595.0,2009,2009-01-01
Nevada,51434.0,2009,2009-01-01
New Hampshire,64131.0,2009,2009-01-01
New Jersey,64777.0,2009,2009-01-01
New Mexico,43542.0,2009,2009-01-01
New York,50216.0,2009,2009-01-01
North Carolina,41906.0,2009,2009-01-01
North Dakota,50075.0,2009,2009-01-01
Ohio,45879.0,2009,2009-01-01
Oklahoma,45878.0,2009,2009-01-01
Oregon,49098.0,2009,2009-01-01
Pennsylvania,48172.0,2009,2009-01-01
Rhode Island,51634.0,2009,2009-01-01
South Carolina,41101.0,2009,2009-01-01
South Dakota,45826.0,2009,2009-01-01
Tennessee,40517.0,2009,2009-01-01
Texas,47475.0,2009,2009-01-01
Utah,58491.0,2009,2009-01-01
Vermont,52318.0,2009,2009-01-01
Virginia,60501.0,2009,2009-01-01
Washington,60392.0,2009,2009-01-01
West Virginia,40490.0,2009,2009-01-01
Wisconsin,51237.0,2009,2009-01-01
Wyoming,52470.0,2009,2009-01-01
United States,50303.0,2008,2008-01-01
Alabama,44476.0,2008,2008-01-01
Alaska,63989.0,2008,2008-01-01
Arizona,46914.0,2008,2008-01-01
Arkansas,39586.0,2008,2008-01-01
California,57014.0,2008,2008-01-01
Colorado,60943.0,2008,2008-01-01
Connecticut,64682.0,2008,2008-01-01
Delaware,50702.0,2008,2008-01-01
D.C.,55590.0,2008,2008-01-01
Florida,44857.0,2008,2008-01-01
Georgia,46227.0,2008,2008-01-01
Hawaii,61521.0,2008,2008-01-01
Idaho,47420.0,2008,2008-01-01
Illinois,53254.0,2008,2008-01-01
Indiana,46520.0,2008,2008-01-01
Iowa,50142.0,2008,2008-01-01
Kansas,47877.0,2008,2008-01-01
Kentucky,41148.0,2008,2008-01-01
Louisiana,39563.0,2008,2008-01-01
Maine,47228.0,2008,2008-01-01
Maryland,63711.0,2008,2008-01-01
Massachusetts,60320.0,2008,2008-01-01
