Year,State,PHYSHLTH,MENTHLTH
1994,Alabama,13.255813953488373,13.930232558139535
1994,Alaska,8.027131782945736,9.430232558139535
1994,Arizona,10.468468468468469,10.387387387387387
1994,Arkansas,11.447488584474886,11.703196347031964
1994,California,9.182464454976303,9.693127962085308
1994,Colorado,9.120521172638437,10.221498371335505
1994,Connecticut,9.246376811594203,10.028985507246377
1994,Delaware,10.156441717791411,11.960122699386503
1994,Florida,10.831119544592031,12.045540796963946
1994,Georgia,11.662790697674419,11.944767441860465
1994,Idaho,8.697508896797153,9.099644128113878
1994,Illinois,12.443243243243243,13.275675675675675
1994,Indiana,10.29736211031175,11.203836930455635
1994,Iowa,10.273381294964029,10.931654676258994
1994,Kansas,7.2727272727272725,9.203208556149733
1994,Kentucky,13.432343234323433,16.194719471947195
1994,Louisiana,10.613333333333333,11.68
1994,Maine,11.00625,10.6625
1994,Maryland,10.204119850187267,10.691011235955056
1994,Massachusetts,9.31055900621118,10.537267080745341
1994,Michigan,8.99003984063745,10.302788844621514
1994,Minnesota,8.046579330422125,9.177583697234352
1994,Mississippi,10.720670391061452,13.508379888268156
1994,Missouri,11.076595744680851,11.54468085106383
1994,Montana,9.478494623655914,9.36021505376344
1994,Nebraska,8.457627118644067,10.588983050847459
1994,Nevada,9.776315789473685,11.50263157894737
1994,New Hampshire,9.587378640776699,11.330097087378642
1994,New Jersey,10.351190476190476,11.494047619047619
1994,New Mexico,9.325714285714286,9.108571428571429
1994,New York,9.355742296918768,11.736694677871148
1994,North Carolina,14.16326530612245,14.462585034013605
1994,North Dakota,8.902912621359222,9.867313915857606
1994,Ohio,10.325581395348838,10.761627906976743
1994,Oklahoma,9.621621621621621,10.616216216216216
1994,Oregon,8.489711934156379,9.707818930041153
1994,Pennsylvania,10.165853658536586,9.665040650406505
1994,South Carolina,9.397993311036789,11.632107023411372
1994,South Dakota,9.596385542168674,9.25301204819277
1994,Tennessee,10.053571428571429,10.78061224489796
1994,Texas,8.360323886639677,10.291497975708502
1994,Utah,7.73900293255132,8.457478005865102
1994,Vermont,9.221902017291066,10.170028818443804
1994,Virginia,8.325490196078432,10.176470588235293
1994,Washington,8.192893401015228,9.607445008460237
1994,West Virginia,13.025889967637541,12.915857605177994
1994,Wisconsin,10.128378378378379,9.320945945945946
1994,Wyoming,9.80327868852459,10.459016393442623
1995,Alabama,11.565836298932384,12.672597864768683
1995,Alaska,9.106122448979592,8.628571428571428
1995,Arizona,10.147766323024054,11.240549828178693
1995,Arkansas,12.403361344537815,12.319327731092438
1995,California,10.096345514950166,10.347176079734218
1995,Colorado,10.242894056847545,10.390180878552972
1995,Connecticut,7.790322580645161,10.387096774193548
1995,Delaware,11.059055118110237,12.992125984251969
1995,Florida,10.833017077798862,11.81404174573055
1995,Georgia,9.333333333333334,10.298550724637682
1995,Idaho,8.761336515513127,10.257756563245824
1995,Illinois,9.471947194719473,10.92079207920792
1995,Indiana,10.096296296296297,11.498765432098766
1995,Iowa,9.615384615384615,10.708041958041958
1995,Kansas,9.581314878892734,10.705882352941176
1995,Kentucky,17.197231833910035,19.84083044982699
1995,Louisiana,11.292490118577074,11.885375494071146
1995,Maine,9.120481927710843,10.837349397590362
1995,Maryland,10.045977011494253,10.873563218390805
1995,Massachusetts,8.804635761589404,10.612582781456954
1995,Michigan,8.276341948310138,10.182902584493041
1995,Minnesota,8.207042253521127,9.15774647887324
1995,Mississippi,13.322368421052632,14.157894736842104
1995,Missouri,8.756302521008404,10.970588235294118
1995,Montana,8.573863636363637,9.25
1995,Nebraska,9.353658536585366,11.695121951219512
1995,Nevada,9.640127388535031,11.054140127388536
1995,New Hampshire,9.497560975609757,11.004878048780487
1995,New Jersey,8.717171717171718,9.414141414141413
1995,New Mexico,10.41588785046729,9.794392523364486
1995,New York,8.925333333333333,10.650666666666666
1995,North Carolina,13.56734693877551,14.085714285714285
1995,North Dakota,8.571955719557195,10.44280442804428
1995,Ohio,9.994444444444444,10.955555555555556
1995,Oklahoma,10.529411764705882,12.209150326797385
1995,Oregon,9.436802973977695,10.29182156133829
1995,Pennsylvania,9.39619651347068,10.26782884310618
1995,Rhode Island,10.069306930693068,11.775577557755776
1995,South Carolina,9.706349206349206,11.773809523809524
1995,South Dakota,9.357933579335793,8.81549815498155
1995,Tennessee,11.655913978494624,11.401433691756273
1995,Texas,11.02721088435374,11.241496598639456
1995,Utah,9.362862010221464,9.848381601362862
1995,Vermont,9.6875,11.5175
1995,Virginia,9.346303501945526,10.46692607003891
1995,Washington,9.035058430717863,9.198664440734557
1995,West Virginia,13.43006993006993,13.79020979020979
1995,Wisconsin,9.269879518072289,9.363855421686747
1995,Wyoming,8.929447852760736,10.033742331288343
1996,Alabama,9.307486631016042,10.855614973262032
1996,Alaska,8.8008658008658,10.021645021645021
1996,Arizona,12.493827160493828,14.530864197530864
1996,Arkansas,15.14354066985646,15.411483253588516
1996,California,9.679117147707979,10.110356536502547
1996,Colorado,8.245733788395905,9.450511945392492
1996,Connecticut,8.860377358490567,10.966037735849056
1996,Delaware,11.234234234234235,12.981981981981981
1996,Florida,10.849909584086799,11.74864376130199
1996,Georgia,9.790513833992096,10.189723320158103
1996,Idaho,10.039812646370024,10.36768149882904
1996,Illinois,9.429347826086957,9.831521739130435
1996,Indiana,9.935211267605634,10.31830985915493
1996,Iowa,8.377551020408163,10.066326530612244
1996,Kansas,8.366666666666667,8.974074074074075
1996,Kentucky,16.05128205128205,20.324786324786324
1996,Louisiana,9.97991967871486,12.301204819277109
1996,Maine,11.3348623853211,13.01834862385321
