State,Year,Month,SPI
AL,1994,1,0.2117910447761194
AL,1994,2,0.11014925373134328
AL,1994,3,0.5476119402985072
AL,1994,4,-0.008656716417910439
AL,1994,5,-0.3080597014925373
AL,1994,6,1.1985074626865675
AL,1994,7,1.4698507462686565
AL,1994,8,-0.6459701492537314
AL,1994,9,0.16552238805970146
AL,1994,10,1.0320895522388063
AL,1994,11,0.052835820895522384
AL,1994,12,-0.5207462686567162
AL,1995,1,-0.017611940298507465
AL,1995,2,0.3611940298507464
AL,1995,3,-0.15044776119402983
AL,1995,4,0.1891044776119403
AL,1995,5,-0.4656716417910447
AL,1995,6,-0.31029850746268667
AL,1995,7,-0.8471641791044778
AL,1995,8,0.17417910447761195
AL,1995,9,-0.10492537313432838
AL,1995,10,2.1756716417910456
AL,1995,11,0.867313432835821
AL,1995,12,0.061641791044776094
AL,1996,1,1.0270149253731344
AL,1996,2,-0.43014925373134333
AL,1996,3,0.8322388059701491
AL,1996,4,0.02417910447761194
AL,1996,5,-0.6261194029850745
AL,1996,6,-0.4023880597014925
AL,1996,7,0.6455223880597015
AL,1996,8,0.21522388059701483
AL,1996,9,0.9889552238805971
AL,1996,10,-0.051194029850746246
AL,1996,11,0.03895522388059701
AL,1996,12,0.06567164179104479
AL,1997,1,0.7085074626865674
AL,1997,2,0.5304477611940296
AL,1997,3,-0.7192537313432835
AL,1997,4,0.5240298507462685
AL,1997,5,0.564179104477612
AL,1997,6,1.4952238805970146
AL,1997,7,-0.283731343283582
AL,1997,8,-0.6967164179104478
AL,1997,9,0.016567164179104456
AL,1997,10,1.045223880597015
AL,1997,11,0.6626865671641788
AL,1997,12,0.05671641791044777
AL,1998,1,1.0746268656716422
AL,1998,2,0.9670149253731344
AL,1998,3,0.08850746268656726
AL,1998,4,0.41104477611940315
AL,1998,5,-0.8137313432835821
AL,1998,6,-0.36552238805970144
AL,1998,7,0.41970149253731337
AL,1998,8,-0.4117910447761192
AL,1998,9,0.7953731343283582
AL,1998,10,-0.6774626865671644
AL,1998,11,-0.1055223880597015
AL,1998,12,-0.42268656716417913
AL,1999,1,1.1131343283582091
AL,1999,2,-1.2035820895522393
AL,1999,3,-0.050597014925373135
AL,1999,4,-0.7928358208955224
AL,1999,5,0.10059701492537317
AL,1999,6,1.6008955223880603
AL,1999,7,-0.2507462686567165
AL,1999,8,-1.4820895522388067
AL,1999,9,-0.7614925373134331
AL,1999,10,0.35731343283582095
AL,1999,11,-0.39716417910447765
AL,1999,12,-0.691044776119403
AL,2000,1,0.025671641791044773
AL,2000,2,-1.6088059701492536
AL,2000,3,-0.21850746268656707
AL,2000,4,0.12388059701492539
AL,2000,5,-1.5253731343283579
AL,2000,6,-0.2056716417910447
AL,2000,7,-1.992537313432836
AL,2000,8,-1.1085074626865672
AL,2000,9,0.01671641791044776
AL,2000,10,-1.144328358208955
AL,2000,11,1.4658208955223877
AL,2000,12,-0.2543283582089552
AL,2001,1,-0.01611940298507465
AL,2001,2,-0.3741791044776118
AL,2001,3,1.181044776119403
AL,2001,4,-0.14761194029850747
AL,2001,5,0.08985074626865672
AL,2001,6,1.2292537313432836
AL,2001,7,-0.7823880597014923
AL,2001,8,0.5189552238805971
AL,2001,9,0.5428358208955226
AL,2001,10,0.2956716417910447
AL,2001,11,-0.006119402985074624
AL,2001,12,-0.392089552238806
AL,2002,1,0.13970149253731345
AL,2002,2,-0.9338805970149253
AL,2002,3,0.0691044776119403
AL,2002,4,-1.0647761194029854
AL,2002,5,0.1161194029850746
AL,2002,6,-0.15059701492537308
AL,2002,7,0.1064179104477612
AL,2002,8,-0.5414925373134329
AL,2002,9,1.345223880597015
AL,2002,10,1.1238805970149253
AL,2002,11,0.6082089552238806
AL,2002,12,0.6271641791044776
AL,2003,1,-1.3155223880597018
AL,2003,2,0.7159701492537315
AL,2003,3,-0.4192537313432834
AL,2003,4,0.6565671641791044
AL,2003,5,1.6641791044776117
AL,2003,6,1.378805970149254
AL,2003,7,0.9304477611940302
AL,2003,8,0.7050746268656718
AL,2003,9,0.1904477611940299
AL,2003,10,-0.5365671641791043
AL,2003,11,0.565820895522388
AL,2003,12,-0.6065671641791045
AL,2004,1,-0.722686567164179
AL,2004,2,0.7738805970149255
AL,2004,3,-1.5882089552238803
