State_Abbrev,Year,Gas_Per_Gallon
AK,1994,1.30775
AL,1994,1.0698640476190475
AR,1994,1.073600476190476
AZ,1994,1.1931661904761905
CA,1994,1.1333833333333334
CO,1994,1.2305304761904763
CT,1994,1.2915588095238095
DC,1994,1.3052590476190478
DE,1994,1.1881842857142855
FL,1994,1.0374816666666666
GA,1994,0.9440709523809523
HI,1994,1.4098790476190477
IA,1994,1.0885461904761906
ID,1994,1.2056209523809525
IL,1994,1.1196830952380954
IN,1994,1.0275178571428571
KS,1994,1.0374816666666666
KY,1994,1.0910371428571428
LA,1994,1.1308923809523808
MA,1994,1.1944116666666666
MD,1994,1.261667380952381
ME,1994,1.1769749999999999
MI,1994,1.0374816666666666
MN,1994,1.1782204761904762
MO,1994,1.020045
MS,1994,1.0848097619047619
MT,1994,1.2504580952380953
NC,1994,1.0848097619047619
ND,1994,1.1408561904761905
NE,1994,1.1470835714285716
NH,1994,1.1620292857142858
NJ,1994,1.1034919047619045
NM,1994,1.2056209523809525
NV,1994,1.189429761904762
NY,1994,1.1408561904761905
OH,1994,1.1358742857142856
OK,1994,1.0212904761904762
OR,1994,1.25544
PA,1994,1.1520654761904763
RI,1994,1.2342669047619048
SC,1994,1.0038538095238096
SD,1994,1.1072283333333335
TN,1994,1.1034919047619045
TX,1994,1.118437619047619
US,1994,1.1159466666666669
UT,1994,1.117192142857143
VA,1994,1.1072283333333335
VT,1994,1.1470835714285716
WA,1994,1.2081119047619047
WI,1994,1.1333833333333334
WV,1994,1.223057619047619
WY,1994,1.0823188095238094
AK,1995,1.3504680952380952
AL,1995,1.1069614285714284
AR,1995,1.0870833333333334
AZ,1995,1.1964128571428572
CA,1995,1.149202380952381
CO,1995,1.2138061904761903
CT,1995,1.38277
DC,1995,1.3392866666666667
DE,1995,1.2585319047619048
FL,1995,1.0585085714285714
GA,1995,0.9727842857142858
HI,1995,1.4262533333333334
IA,1995,1.0870833333333334
ID,1995,1.14796
IL,1995,1.177777142857143
IN,1995,1.0659628571428572
KS,1995,1.0597509523809523
KY,1995,1.1380209523809524
LA,1995,1.1566566666666667
MA,1995,1.273440476190476
MD,1995,1.2995304761904762
ME,1995,1.2448657142857142
MI,1995,1.0498119047619046
MN,1995,1.175292380952381
MO,1995,1.038630476190476
MS,1995,1.1044766666666668
MT,1995,1.256047142857143
NC,1995,1.1044766666666668
ND,1995,1.1392633333333333
NE,1995,1.1442328571428573
NH,1995,1.2423809523809524
NJ,1995,1.14796
NM,1995,1.1815042857142857
NV,1995,1.1541719047619046
NY,1995,1.1889585714285715
OH,1995,1.151687142857143
OK,1995,1.0336609523809526
OR,1995,1.279652380952381
PA,1995,1.2051095238095237
RI,1995,1.303257619047619
SC,1995,1.039872857142857
SD,1995,1.1355361904761905
TN,1995,1.125597142857143
TX,1995,1.151687142857143
US,1995,1.1442328571428573
UT,1995,1.1467176190476192
VA,1995,1.1330514285714284
VT,1995,1.2150485714285713
WA,1995,1.2485928571428573
WI,1995,1.1914433333333332
WV,1995,1.2448657142857142
WY,1995,1.0845985714285713
AK,1996,1.4573128571428573
AL,1996,1.1603838095238095
AR,1996,1.169080476190476
AZ,1996,1.3107119047619047
CA,1996,1.2448657142857142
CO,1996,1.2995304761904762
CT,1996,1.4622823809523808
DC,1996,1.4063752380952381
DE,1996,1.3094695238095237
FL,1996,1.1392633333333333
GA,1996,1.0373880952380952
HI,1996,1.5094928571428572
IA,1996,1.1902009523809522
ID,1996,1.273440476190476
IL,1996,1.275925238095238
IN,1996,1.1318090476190474
KS,1996,1.1616261904761904
KY,1996,1.22623
LA,1996,1.2038671428571428
MA,1996,1.3194085714285713
MD,1996,1.3492257142857143
ME,1996,1.2871066666666666
